hour,src_addr,dst_addr,avg
2025-01-20 00:00:00+00:00,10.0.0.1,128.112.49.68,330.26222222222225
2025-01-20 00:00:00+00:00,10.0.0.1,129.132.230.98,429.00638888888886
2025-01-20 00:00:00+00:00,10.0.0.1,134.75.253.186,410.07916666666665
2025-01-20 00:00:00+00:00,10.0.0.1,134.75.254.171,322.00416666666666
2025-01-20 00:00:00+00:00,10.0.0.1,134.75.254.214,168.0
2025-01-20 00:00:00+00:00,10.0.0.1,134.75.254.68,1.0
2025-01-20 00:00:00+00:00,10.0.0.1,137.132.22.29,357.24916666666667
2025-01-20 00:00:00+00:00,10.0.0.1,141.44.25.151,436.00027777777774
2025-01-20 00:00:00+00:00,10.0.0.1,145.40.89.243,352.7102777777778
2025-01-20 00:00:00+00:00,10.0.0.1,200.129.206.243,461.22222222222223
2025-01-20 00:00:00+00:00,10.0.0.1,62.40.110.132,422.0225
2025-01-20 00:00:00+00:00,10.0.0.1,62.40.110.140,417.00833333333327
2025-01-20 00:00:00+00:00,10.0.0.1,62.40.110.148,425.0252777777778
2025-01-20 00:00:00+00:00,10.10.0.1,128.112.49.68,107.99861033907726
2025-01-20 00:00:00+00:00,10.10.0.1,129.132.230.98,18.984991662034464
2025-01-20 00:00:00+00:00,10.10.0.1,134.75.253.186,1.3333333333333333
2025-01-20 00:00:00+00:00,10.10.0.1,134.75.254.171,88.02334630350194
2025-01-20 00:00:00+00:00,10.10.0.1,134.75.254.214,242.26562934148373
2025-01-20 00:00:00+00:00,10.10.0.1,134.75.254.68,410.0539188438021
2025-01-20 00:00:00+00:00,10.10.0.1,137.132.22.29,481.00083402835696
2025-01-20 00:00:00+00:00,10.10.0.1,141.44.25.151,25.0366870483602
2025-01-20 00:00:00+00:00,10.10.0.1,145.40.89.243,489.1840422574368
2025-01-20 00:00:00+00:00,10.10.0.1,200.129.206.243,244.96914952751527
2025-01-20 00:00:00+00:00,10.10.0.1,62.40.110.132,12.000277932184549
2025-01-20 00:00:00+00:00,10.10.0.1,62.40.110.140,6.80822679266259
2025-01-20 00:00:00+00:00,10.10.0.1,62.40.110.148,15.00166759310728
2025-01-20 00:00:00+00:00,127.0.0.1,128.112.49.68,157.3471588552468
2025-01-20 00:00:00+00:00,127.0.0.1,129.132.230.98,149.0692658647864
2025-01-20 00:00:00+00:00,127.0.0.1,134.75.253.186,244.9966818747408
2025-01-20 00:00:00+00:00,127.0.0.1,134.75.254.171,156.16673579427624
2025-01-20 00:00:00+00:00,127.0.0.1,134.75.254.214,310.21650767316464
2025-01-20 00:00:00+00:00,127.0.0.1,134.75.254.68,461.364315352697
2025-01-20 00:00:00+00:00,127.0.0.1,137.132.22.29,345.9440066362505
2025-01-20 00:00:00+00:00,127.0.0.1,141.44.25.151,177.0713692946058
2025-01-20 00:00:00+00:00,127.0.0.1,145.40.89.243,133.06553297386975
2025-01-20 00:00:00+00:00,127.0.0.1,200.129.206.243,1.2253521126760565
2025-01-20 00:00:00+00:00,127.0.0.1,62.40.110.132,141.02695976773123
2025-01-20 00:00:00+00:00,127.0.0.1,62.40.110.140,153.63708004977187
